City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Pevek,54,RU,1584217290,76,69.7,170.31,-10.89,9.19
Hermanus,53,ZA,1584217291,88,-34.42,19.23,64.99,13.4
Zhigansk,100,RU,1584217291,95,66.77,123.37,-5.85,21.77
Lorengau,100,PG,1584217291,78,-2.02,147.27,83.79,12.21
Albany,75,US,1584216776,42,42.6,-73.97,46.0,23.04
Vila Velha,40,BR,1584217020,74,-20.33,-40.29,84.2,10.29
New Norfolk,75,AU,1584217251,81,-42.78,147.06,53.01,5.82
Caravelas,97,BR,1584217293,79,-17.71,-39.25,80.55,11.88
Bluff,100,NZ,1584217293,84,-46.6,168.33,54.0,3.0
Bengkulu,95,ID,1584217013,91,-3.8,102.27,74.61,3.27
Ribeira Grande,40,PT,1584217294,72,38.52,-28.7,62.6,12.75
Guanare,17,VE,1584217295,27,9.04,-69.74,99.45,6.85
East London,51,ZA,1584217295,78,-33.02,27.91,73.89,8.93
Mataura,100,NZ,1584217295,84,-46.19,168.86,54.0,3.0
Mahébourg,75,MU,1584217295,94,-20.41,57.7,77.0,3.36
Upernavik,100,GL,1584217028,97,72.79,-56.15,-10.35,3.56
Esperance,75,AU,1584217013,93,-33.87,121.9,62.6,13.87
Rikitea,0,PF,1584217295,80,-23.12,-134.97,77.67,13.69
Tautira,20,PF,1584217296,66,-17.73,-149.15,87.8,5.82
Faya,5,SA,1584217026,82,18.39,42.45,60.8,11.41
Dafeng,99,CN,1584217296,64,23.45,108.59,59.13,3.87
Tiksi,0,RU,1584217296,80,71.69,128.87,-16.11,8.46
Ocós,40,GT,1584217296,66,14.51,-92.19,89.6,6.93
Nioro,2,GM,1584217296,12,13.35,-15.75,87.21,12.8
Jipapad,82,PH,1584217296,87,12.29,125.24,71.19,1.21
Sobolevo,35,RU,1584217297,62,54.43,31.9,25.47,14.58
Bethel,1,US,1584217018,34,41.37,-73.41,55.4,10.29
Berlevåg,93,NO,1584217297,74,70.86,29.09,22.05,28.68
Leningradskiy,29,RU,1584217297,72,69.38,178.42,-6.21,6.96
Qaanaaq,0,GL,1584217297,61,77.48,-69.36,-20.25,5.26
Carnarvon,75,AU,1584217297,83,-24.87,113.63,77.0,9.17
Port Alfred,92,ZA,1584217297,88,-33.59,26.89,68.0,3.0
Tasiilaq,20,GL,1584217298,65,65.61,-37.64,5.0,1.12
Aksu,7,CN,1584217298,27,41.12,80.26,40.77,5.55
Torbay,75,CA,1584217298,81,47.67,-52.73,39.0,23.04
Khatanga,100,RU,1584217298,88,71.97,102.5,25.29,12.8
Sabha,0,LY,1584217298,19,27.04,14.43,65.25,7.99
Bredasdorp,67,ZA,1584217298,72,-34.53,20.04,68.0,8.05
Vestmannaeyjar,68,IS,1584217299,68,63.44,-20.27,28.89,18.34
Saint-Philippe,40,RE,1584217299,83,-21.36,55.77,78.8,13.87
Port-Cartier,75,CA,1584217299,77,50.03,-66.87,32.0,10.29
Gimli,100,CA,1584217263,77,50.63,-96.99,15.01,5.99
Coracora,100,PE,1584217299,86,-15.03,-73.78,53.73,8.72
Ushuaia,20,AR,1584217299,47,-54.8,-68.3,55.4,6.93
Huarmey,96,PE,1584217300,53,-10.07,-78.15,81.45,9.46
